epoch,train_loss,train_error,valid_loss,valid_error,test_error
078,0.045513,0.006322,3.03149,0.53101,
078,0.046225,0.006276,3.03149,0.53101,
078,0.046683,0.006506,3.03149,0.53101,
079,0.044197,0.006621,3.05728,0.53091,
079,0.041807,0.005540,3.05728,0.53091,
079,0.043842,0.006322,3.05728,0.53091,
079,0.043683,0.006276,3.05728,0.53091,
080,0.040751,0.004989,3.06339,0.53026,
080,0.041530,0.005655,3.06339,0.53026,
080,0.040490,0.004966,3.06339,0.53026,
080,0.041902,0.005540,3.06339,0.53026,
081,0.040019,0.005196,3.09784,0.53056,
081,0.040201,0.005563,3.09784,0.53056,
081,0.038530,0.004966,3.09784,0.53056,
081,0.039444,0.005081,3.09784,0.53056,
082,0.038565,0.004598,3.11111,0.53031,
082,0.037729,0.004345,3.11111,0.53031,
082,0.036475,0.004161,3.11111,0.53031,
082,0.038703,0.004644,3.11111,0.53031,
083,0.036884,0.004253,3.08767,0.52788,
083,0.035679,0.003977,3.08767,0.52788,
083,0.036560,0.004092,3.08767,0.52788,
083,0.037525,0.004575,3.08767,0.52788,
084,0.034485,0.003425,3.11004,0.52892,
084,0.036407,0.003747,3.11004,0.52892,
084,0.036455,0.004161,3.11004,0.52892,
084,0.036043,0.003908,3.11004,0.52892,
085,0.035523,0.004046,3.13894,0.52981,
085,0.034186,0.003517,3.13894,0.52981,
085,0.035156,0.003931,3.13894,0.52981,
085,0.034413,0.003310,3.13894,0.52981,
086,0.034924,0.003931,3.13521,0.52917,
086,0.034239,0.003310,3.13521,0.52917,
086,0.033816,0.003356,3.13521,0.52917,
086,0.034330,0.003609,3.13521,0.52917,
087,0.033741,0.003701,3.16164,0.53155,
087,0.033118,0.002989,3.16164,0.53155,
087,0.032375,0.002966,3.16164,0.53155,
087,0.033818,0.003196,3.16164,0.53155,
088,0.032607,0.003265,3.19697,0.53145,
088,0.033192,0.003288,3.19697,0.53145,
088,0.033326,0.003609,3.19697,0.53145,
088,0.033220,0.003288,3.19697,0.53145,
089,0.031735,0.002805,3.13206,0.52912,
089,0.033118,0.003517,3.13206,0.52912,
089,0.032446,0.003035,3.13206,0.52912,
089,0.031992,0.003012,3.13206,0.52912,
090,0.032614,0.003219,3.16845,0.52922,
090,0.032196,0.002874,3.16845,0.52922,
090,0.032280,0.002851,3.16845,0.52922,
090,0.031871,0.003402,3.16845,0.52922,
091,0.031834,0.002966,3.19969,0.52922,
091,0.031282,0.002690,3.19969,0.52922,
091,0.031193,0.002391,3.19969,0.52922,
091,0.031268,0.002690,3.19969,0.52922,
092,0.030046,0.002368,3.19020,0.53006,
092,0.031773,0.002828,3.19020,0.53006,
092,0.030758,0.002506,3.19020,0.53006,
092,0.031406,0.002575,3.19020,0.53006,
093,0.030793,0.002943,3.16638,0.52872,
093,0.029555,0.002230,3.16638,0.52872,
093,0.031066,0.002782,3.16638,0.52872,
093,0.031286,0.002966,3.16638,0.52872,
094,0.031569,0.002805,3.17834,0.52753,
094,0.030832,0.002506,3.17834,0.52753,
094,0.030527,0.002506,3.17834,0.52753,
094,0.029309,0.002092,3.17834,0.52753,
095,0.030153,0.002391,3.20969,0.53086,
095,0.029821,0.002345,3.20969,0.53086,
095,0.030230,0.002805,3.20969,0.53086,
095,0.029818,0.002184,3.20969,0.53086,
096,0.029751,0.002529,3.20689,0.52981,
096,0.030147,0.002506,3.20689,0.52981,
096,0.030133,0.002575,3.20689,0.52981,
096,0.029824,0.002253,3.20689,0.52981,
097,0.029688,0.002345,3.24897,0.53031,
097,0.030003,0.002483,3.24897,0.53031,
097,0.029092,0.002184,3.24897,0.53031,
097,0.030218,0.002414,3.24897,0.53031,
098,0.030127,0.002529,3.20631,0.52897,
098,0.029903,0.002345,3.20631,0.52897,
098,0.028581,0.002115,3.20631,0.52897,
098,0.029925,0.002391,3.20631,0.52897,
099,0.029551,0.002506,3.22334,0.52788,
099,0.028936,0.002207,3.22334,0.52788,
099,0.029607,0.002437,3.22334,0.52788,
099,0.029267,0.002368,3.22334,0.52788,
100,0.028892,0.002414,3.21933,0.52927,
100,0.028886,0.002276,3.21933,0.52927,
100,0.029394,0.002368,3.21933,0.52927,
100,0.029175,0.002230,3.21933,0.52927,
,,,,,0.94129
,,,,,0.94129
,,,,,0.94129
,,,,,0.94129
